id,no,state,name,address,description,website,email,tel,fax,image,latitude,longitude,likes,status
44,19,PUTRAJAYA,Pride of Putrajaya            (Ministry of Finance),"Precint 2 62000 Putrajaya                                                                           ","The Ministry of Finance building ia a 12-story monolithic structure facing Dataran Wawasan, one of four nodes along the main boulevard. It houses manay department that make up the Ministry od Finance such as Royal Customs and Excise Department, Department of the Accountant General, Inland Revenue Board, & many more. The building was completed in August 2002, a distinctive cresent-shaped tower that rises against the formal landscape motifs form a series of arches, layered with brown anodised aluminium sun-screen createdas a bold backdrop to the public space, one of the favourites sets for shooting film & commercials.",www.mof.gov.my,-,+603 8882 3000,+603 8882 3893,destination_putrajaya_18.png,2.9248252,101.6880951,0,NEW
45,1,LABUAN,Peace Park,,Beautiful landscaped gardens surround the Memorial Mound.,,enquiries@tourism.gov.my,1300885050,,,0,0,0,NEW
46,2,LABUAN,Labuan Bird Park,,This aviary has an incredible selection of tropical birds and a beautiful garden.,,enquiries@tourism.gov.my,1300885050,,,0,0,1,NEW
47,3,LABUAN,The Tanjung Kubong Tunnel 'The Mysterious Chimney',,The mysterious tunnel provides a window into Labuan's history.,,enquiries@tourism.gov.my,1300885050,,,0,0,0,NEW
48,4,LABUAN,Patau-Patau 2 Water Village,,Two villages built on the water's edge where all the houses are connected by quaint walkways.,,enquiries@tourism.gov.my,1300885050,,,0,0,0,NEW
49,5,LABUAN,Labuan Financial Park (Kompleks Ujana Kewangan),,"Located at Jalan Merdeka, strategically in the heart of the town. ",www.fpl.cpm.my,info@financialpark.com,087-419477,087-425650,,0,0,0,NEW
50,6,LABUAN,World War II War Memorial,,"Located in Jalan Tanjung Purun, WWII War Memorial is an expanse of lawn with rows of headstone which has been dedicated to 3,908 soldiers who lost their lives during WWII.",,,,,,0,0,0,NEW
51,7,LABUAN,Marine Park,,"Consist of four island; Kuraman Island, Rusukan Besar Island, Rusukan Kecil Island and Papan Island.",www.dmpm.nre.gov.my,,087-582502 / 087-582,08-7582500 ,,0,0,0,NEW
52,8,LABUAN,Shipwreck and Dive Sites,,"There are four wrecks in Labuan which have been discovered by Maurice Davidson and members of Brunei Sub Aqua Diving Club in 1980's.The four wrecks are The Cement Wreck,  The Blue Water Wreck, The American Wreck And The Australian Wreck. ",,,,,,0,0,0,NEW
53,1,KEDAH,Langkawi,,"This cluster of 99 islands offers beautiful beaches, world-class infrastructure, ultra-cheap duty-free shopping and fascinating legends.",,,604-966 7789,604-9667889,destination_kedah_01.png,6.371,99.789,0,NEW
54,2,KEDAH,Langkawi Cable Car,,"A cable car ride that takes you to Langkawi's second highest peak, where the view of the surrounding islands is spectacular!",http://www.panoramalangkawi.com,info@panoramalangkawi.com,604-959 4225,604-959 1121,destination_kedah_02.png,6.371,99.672,0,NEW
55,3,KEDAH,Langkawi Mangroves,,"One of the largest mangrove forests in Southeast Asia, and is home to a surprising diversity and wealth of flora and fauna.",http://www.langkawimangrovetours.com,whitesandslgk@yahoo.com,017-430 4800,,destination_kedah_03.png,6.441,99.83,0,NEW
56,4,KEDAH,Pulau Payar Marine Park,,This beautiful marine park features underwater wonders coupled with great facilities to get you closer to nature.,http://www.dmpm.nre.gov.my,utlkedah@nre.gov.my,04-733 9086, 04-735 5323,destination_kedah_04.png,6.062,99.99999999,0,NEW
57,5,KEDAH,Tree Top Walk,,The world's longest canopy walk runs for 950 metres above the ancient Malaysian rainforest.,http://www.treetopwalk.com.my/,info@treetopwalk.com.my,04-4901588,04-4919588,destination_kedah_05.png,5.413,99.99999999,0,NEW
58,6,KEDAH,Mahathir's Birth Place or 'Rumah Kelahiran Mahathir',,"Rumah Kelahiran Mahathir which provides an insight into the younger days of the fourth Prime Minister of Malaysia, from his school days to his success as a doctor.",,, 04-7722319,,destination_kedah_06.png,6.113,99.99999999,0,NEW
59,7,KEDAH,Pekan Rabu,,'Pekan Rabu' which literally means Wednesday Market which is located in the middle of Alor Star town.,,,04-735 5523 ,,destination_kedah_07.png,6.117,99.99999999,0,NEW
60,8,KEDAH,Ulu Legong Hot Spring,,There is five natural hot springs at this location. Ulu Legong is uniquely located near an orang asli village.,,,04-473 2284 ,,destination_kedah_08.png,5.818,99.99999999,0,NEW
61,9,KEDAH,The Paddy Museum,,"Located in Gunung Keriang, the museum showcases the development of paddy cultivation methods, traditional paddy planting equipment and different aspects of paddy cultivation.",,,04 735 1315,,destination_kedah_09.png,6.193,99.99999999,0,NEW
62,10,KEDAH,Kilim River Cruise,,"For the adventurous and nature lovers, Langkawi offers some truly unforgettable sights and experiences, particulary with the boat cruise to to explore Kilim Nature Park - an escapade to another world.",http://www.langkawiguide.com,info@langkawiguide.com,04-966 7789,,destination_kedah_10.png,6.405,99.858,0,NEW
218,31,MELAKA,Tasik Ayer Keroh,"Ayer Keroh, Melaka.","The Ayer Keroh Lake which is located in the proximity of the Melaka Zoo and Dataran Sejarah, is an ideal location for exciting water sports activities such as boating and canoeing. It is equipped with basic public amenities and facilities to enable families to enjoy relaxing moments amidst scenic environment.",,,,,destination_melaka_31.png,2.162867,102.180626,0,NEW
219,32,MELAKA,Kolam Air Panas Gadek,"Pusat Pelancongan & Air Ganas Gadek, Mukim Gadek, 78000 Alor Gajah, Melaka.","Gadek Hot Spring is located in Alor Gajah, which is about 30 kilometers from Melaka town. It is now one of the most popular attractions in Alor Gajah, both among locals and foreigners.",,gadekhotsping@gmail.com,-5548978,-5547937,destination_melaka_32.png,1.061023,51.074108,0,NEW
217,30,MELAKA,Tanjung Tuan (Cape Rachado),"Jalan Pantai, Port Dickson, Negeri Sembilan.","The oldest like house in the country, built by the Portugese in the 16th century may be found at Cape Rachado. While the lighthouse is still standing strong, it is no longer used today for the same purpose but houses the MEASAT radar used for broadcasting and communication.",,,,,destination_melaka_30.png,2.242621,101.510808,0,NEW
216,29,MELAKA,Taman Botanikal Melaka,"Ayer Keroh, Melaka.","Ditubuhkan pada 1 Jun 2006, ia tercetus daripada idea YAB Datuk Seri Hj Mohd Ali Bin Mohd Rustam, Ketua Menteri Melaka. Dahulunya Taman Botanikal terkenal sebagai Hutan Rekreasi Ayer Keroh yang mempunyai keluasan 92.5 hektar.",,,,,destination_melaka_29.png,2.143251,102.163531,0,NEW
214,27,MELAKA,Kampung Buku Malaysia,"Ayer Keroh, Melaka.",Kampung Buku Malaysia Melaka ini adalah merupakan yang ke -2 di Malaysia dan ke-5 di Asia serta Ke-33 di dunia. Waktu operasi : Isnin - Jumaat 9.00 pagi hingga 2.00 petang; Sabtu - Ahad 9.00 pagi - 2.00 petang,www.bookvillage.com.my,,06-2519181,06-2519182,destination_melaka_27.png,2.164761,102.175888,0,NEW
215,28,MELAKA,Kompleks Falak Al-Khawarizmi,"Kg. Balik Batu, Tanjung Bidara, 78300 Masjid Tanah, Melaka.","This complex is named after the great Muslim mathematician, astronomer and geographer, Abu Abdullah Muhammad ibnu Musa, also known as Al-Khawarizmi.",www.khawarizmiobs.com,,06-3842148 / 6-28479,06-3842126,destination_melaka_28.png,2.20163,102.05132,0,NEW
213,26,MELAKA,Taman Mini Malaysia & Taman Mini ASEAN,"Lebuh Ayer Keroh, Hang Tuah, Jaya, Ayer Keroh 75450, Melaka.","Tarikan utama taman ini adalah replika rumah-rumah tradisional, yang setiap satunya telah dibina berasaskan senireka dan keunikan setiap rumah tradisional di kesemua 13 negeri di Malaysia. Waktu operasi : 9.00 - 5.00 petang setiap hari",,,06-2321334 ,06-2321335,destination_melaka_26.png,2.165827,102.181449,0,NEW
212,25,MELAKA,Taman Rama-Rama & Reptilia,"Lebuh Ayer Keroh, Hang Tuah Jaya, Ayer Keroh 75450, Melaka.",Satu lagi tempat menarik untuk dikunjungi di kawasan Ayer Keroh adalah Taman Rama-Rama dan Reptilia Melaka yang menjadi tempat tinggal berbagai spesies rama-rama dan reptilia. Waktu operasi : 8.30 pagi - 5.30 petang,,,-2319427,-2329371,destination_melaka_25.png,2.175834,102.184514,0,NEW
210,23,MELAKA,Zoo Melaka,"Lebuh Ayer Keroh, 75450, Melaka.","It is the second largest Zoo in the country with more than 1,200 animals of over 200 different species. Waktu operasi : Zoo siang 9.00 pagi - 6.00 petang setiap hari; Zoo malam 8.00 malam - 11.00 malam",www.zoomelaka.gov.my,info@zoomelaka.gov.my,06-2324053 / 06-2324,-2325253,destination_melaka_23.png,2.164572,102.180878,0,NEW
211,24,MELAKA,Taman Buaya Melaka,"Pusat Pelancongan Ayer Keroh, 75450 Melaka",Tarikan terbaru di Taman Buaya yang menjadi salah satu tarikan utama kepada pengunjung ialah Taman Permainan Air. Tarikan lain di taman ini termasuklah rumah hantu dan pelbagai kemudahan rekreasi yang lain. Waktu operasi : 9.00 pagi - 7.00 petang setiap hari,,,06-2322349 / 06-232 ,06-2319136,destination_melaka_24.png,2.163009,102.172993,0,NEW
209,22,MELAKA,Melaka River Cruise,"Taman Rempah, 75000 Melaka.","Alami pelayaran yang menakjubkan sejauh 9km  menyusuri Sungai Melaka selama 45 minit sambil menikmati pemandangan indah, bangunan dan rumah-rumah kedai peningalan era belanda, rumah - rumah tradissonal Melayu dan banyak lagi pemandangan yang menarik perniagalan sejarah warisan dunia",www.ppspm.gov.my,,06-2814322 / 06-2814,06-2814325,destination_melaka_22.png,2.113913,102.145408,0,NEW
256,12,PERLIS,ROYAL GALERY,BANDAR DIRAJA ARAU,GALERY OF DULI YANG MAHA MULIA TUANKU RAJA PERLIS,www.hrhperlis.com,,04-9861226,,,6.4304833,100.2707833,0,NEW
255,11,PERLIS,ARAU PALACE,BANDAR DIRAJA ARAU,THE HOUSE OF DULI YANG MAHA MULIA TUANKU RAJA PERLIS,www.hrhperlis.com,,04-9861226,,destination_perlis_11.jpg,6.4304833,100.2707833,1,NEW
254,10,PERLIS,HARUMANIS PLANTATION,"JALAN SUNGAI BATU PAHAT,01000 KANGAR,PERLIS",1000 ACRE OF HARUM MANIS PLANTATION.,www.perlisagriculture.gov.my,,04-9384466,,destination_perlis_10.jpg,6.57875,100.2419,1,NEW
253,9,PERLIS,HERBS GARDEN SPA CENTRE,SUNGAI BATU PAHAT,RELAXING YOUR MIND.,www.perlisforestry.gov.my,,04-9765968,,destination_perlis_09.jpg,6.57875,100.2419,0,NEW
252,8,PERLIS,BUKIT AYER RECREATIONAL FOREST,HUTAN LIPUR BUKIT AYER,THE MOST IDEAL PLACE FOR PICNICS.,www.perlisforestry.gov.my,,04-9765967,,destination_perlis_08.jpg,6.57875,100.2419,0,NEW
251,7,PERLIS,MOUNTAIN BIKE CENTRE,"JALAN SUNGAI BATU PAHAT,01000 KANGAR,PERLIS",ONE OF THE POPULAR SPORTS CENTRE FOR EXTREME BIKE.,www.perlisforestry.gov.my,,04-9765966,,destination_perlis_07.jpg,6.57875,100.2419,0,NEW
250,6,PERLIS,EQUINE PARK PERLIS,"JALAN SUNGAI BATU PAHAT,01000 KANGAR,PERLIS",GREAT EXPERIENCE OF RIDING HORSES.,,,,,destination_perlis_06.jpg,6.5092833,100.1690666,0,NEW
249,5,PERLIS,PUTRA GOLF KELAB,"JALAN SUNGAI BATU PAHAT,01000 KANGAR,PERLIS","AN 18-HOLE GOLF COURSE,72-PAR COURSE GOLF PARK.",www.facebook.com/kelab golf putra perlis,,04-9169660,,destination_perlis_05.jpg,6.5081,100.1669,0,NEW
248,4,PERLIS,KOTA KAYANG MUSEUM,"MUZIUM KOTA KAYANG,AL-MARHUM KAYANG,02000,KUALA PERLIS.",A LOTS OF ARTIFACTS CAN BE FOUND HERE.,,,04-9770027,,destination_perlis_04.jpg,2.895333,101.6738166,0,NEW
247,3,PERLIS,HERBS GARDEN,"JALAN SUNGAI BATU PAHAT,01000 KANGAR,PERLIS",CONTAINS OVER 6000 SPECIES OF HERBS AND TRADUTIONAL MEDICINAL PLANTS,,,,,destination_perlis_03.jpg,6.57875,100.2419,0,NEW
246,2,PERLIS,PERLIS GRAPES PLANTATION,"JALAN SUNGAI BATU PAHAT,01000 KANGAR,PERLIS",THERE IS SO MANY SPESIES OF GRAPES THAT YOU CAN FOUND HERE.,,,04-9770433,,destination_perlis_02.jpg,6.518499,100.1745666,0,NEW
245,1,PERLIS,SNAKE AND REPTILE PARK,"JALAN SUNGAI BATU PAHAT,01000 KANGAR,PERLIS",THIS PARK HAS SAVED 200 SANKES FROM 23 DIFFERENT SPESIES.,,,04-9768511,,destination_perlis_01.jpg,6.5089833,100.17365,0,NEW
237,4,PAHANG,Cinta Manis Sg Dua,Karak,"It is at its largest size during the monsoon months, which falls from October to January. Virtually undisturbed for centuries, Tasik Chini itself is a habitat for over 144 species of fishes",,nurulakib@yahoo.com,019-2993611,,destination_pahang_04.png,3.41666,102.03333,0,NEW
236,3,PAHANG,Leban Chondong (Udang Galah),"Rompin,Pahang","Kuala Rompin is a town in the Rompin district of the State of Pahang, Malaysia. It is located on the South-East coast of Peninsular Malaysia and faces the South China Sea. It is about 133?km south from Kuantan, the State Capital of Pahang. From Singapore,",http://en.wikipedia.org/wiki/Kuala_Rompin,,019-9226106/ 0199002,,destination_pahang_03.png,2.81666,103.483333,0,NEW
235,2,PAHANG,Jeti Tanjung Gemuk,"Terminal JetiTanjung Gemok26820 Kuala Rompin",Tanjung Gemok is a very small but modern village. It has vacant lots for stalls and shops near the jetty but these vacant lots looked old even though the jetty is a new jetty (as I was told). It also has a police shed which looks like a small clock tower.,www.dromoz.com/search/?p=Tanjung+Gemuk,,09-4133429,,destination_pahang_02.png,2.81666,103.483333,0,NEW
234,1,PAHANG,Taman Negeri Endau Rompin,"Rompin,Pahang","Taman Negeri Endau-Rompin terletak di Hutan Simpan Lesong yang mempunyai jenis Hutan Dipterokarp Bukit. Taman negeri ini mempunyai ciri-ciri menarik dalam kepelbagai flora dan fauna, geologi serta sejarah. Keunikan kepelbagai hayat yang terdapat disini se",http://www.forestry.gov.my/,,09-4145204,,destination_pahang_01.png,2.81666,103.483333,0,NEW
317,1,TERENGGANU,Pulau Perhentian,"Taman Laut Negeri Terengganu, Limbungan Perikanan, Unit Pantai Timur, Jalan Hiliran, Pulau Kambing, 20300 Kuala Terengganu","Pulau Perhentian mula didiami pada penghujung abad ke 18. Tempat yang mula-mula dibuka dan didiami ialah Teluk Dalam, di sekitar sebatang alur air payau yang cetek yang dikenali sebagai Alur Cina. Orang yang paling awal mendudukinya ialah Batin Mina dan keluarganya. Beliaulah orang yang bertanggungjawab menjadikan Pulau Perhentian sebagai satu petempatan.",,,09-6312062,09-6312062,destination_terengganu_01.png,5.91667,102.733,0,NEW
124,1,SARAWAK,Chinese History Museum ,"Jalan  Main Bazaar, 93000 Kuching, Sarawak","The Chinese History Museum stands on the Waterfront, opposite Tua Pek Kong Temple. The building itself is of interest; it was completed in 1912 and became the court for the Chinese population of Kuching. The 3rd Rajah was keen that the Chinese, like other ethnic groups, should settle disputes within their community in their own way and he encouraged its establishment.",http://www.sarawakmuseum.gov.my ,www.sarawakmuseum.gov.my ,082-240298 ,082-246680 ,destination_sarawak_01.png,1.5576805,110.3488,0,NEW
125,2,SARAWAK,Cat Museum ,"Coporate and Public Relatiobn Divison, Kuching North City Hall, Bukit Siol Jalan Samariang 93050 Kuching, Sarawak. ","The Kuching Cat Museum is a cat museum in Kuching, Sarawak, Malaysia. It was founded in 1993. It is owned by the Kuching North City Hall (DBKU). There are 2000 exhibits, artifacts, statues about cats from all over the world. According to Malaysian and Chinese beliefs, the cat is a lucky animal. The museum covers an area of 1,035.9 square meters in a hill overviewing Kuching called Bukit Siol. In 1987, the first cat show took place in Kuala Lumpur. On August 1, the same exhibition took place in Kuching when the city was referred to as 'Cat City'.",catmuseum@dbku.gov.my ,catmuseum@dbku.gov.my ,082-446688 ,082-446414 ,destination_sarawak_02.png,1.58628,110.33435,0,NEW
126,3,SARAWAK,Sarawak Cultural Village,"Pantai Damai, Santubong P.O.Box 2632, 93752 Kuching, Sarawak. ","Sarawak is rich in history and heritage. It is also known as Land of The Hornbills. The population comprises of local ethnic groups namely Iban, Bidayuh, Orang Ulu, Melanau and other minor tribes plus the Malays, Chinese and Indians living together in harmony for more than a century. Being the largest state in Malaysia, Sarawak covers a vast area of 124,000 sq-km of land along the northwest coast of Borneo, the third largest island in the world. Sarawak offers you a journey of relentless discovery as you travel from city to city and from village to village where you will find, remnants of colonial architectures and in a rich heritage",www.scv.com.my ,info@scv.com.my,082-846411,082-846988,destination_sarawak_03.png,1.753025,110.31657,0,NEW
127,4,SARAWAK,Bako National Park ,"Jalan Bako, 94500 Kuching, Sarawak. ","With its rainforest, abundant wildlife, jungle streams, waterfalls, interesting plant life, secluded beaches, panoramic rocky shoreline, bizarre rock formations and extensive network of trekking trails, Bako National Park offers visitors an excellent introduction to the rainforest and coastline of Borneo. Bako may not have an instantly recognisable star attraction, but there can be very few places in the world that pack so much natural beauty into such a limited area, all just 37 km from Kuching. Its accessibility - and its sheer range of attractions and activities - have made Bako one of the most popular parks in Sarawak",http://ebooking.com.my ,www.sarawalforestry.com ,011-225046 ,082-248087,destination_sarawak_04.png,1.71653,110.4667916,0,NEW
128,5,SARAWAK,Kubah National Park ,"Jalan Lundu/Samapadi, 93000 Kuching Sarawak. ","Almost every visitor to Kuching has seen Kubah National Park, whether they realise it or not. This massive sandstone ridge with its three mountain peaks ? the 911m high Gunung Serapi and the slightly smaller Gunung Selang and Gunung Sendok ? is clearly visible from the Kuching Waterfront. Situated only 22 kilometres from Kuching, Kubah is not only the most visible but also one of the most accessible of Sarawak?s National Parks",,www.sarawalforestry.com ,082-231033,082-231044 ,destination_sarawak_05.png,1.6107472,110.1969416,0,NEW
129,6,SARAWAK,Pitcher Plant & Wild Orchid Garden ,"10th mile Jalan Penrissen, P.O.Box 620 93712 Kuching, Sarawak. ","Padawan Pitcher Plant and Orchid Garden showcases lowland pitcher plants and orchids from around Borneo. Open from 9am to 4pm, Tuesdays to Sundays",www.mpp.gov.my ,mpp@tm.net.my ,082-617627,082-618424 ,destination_sarawak_06.png,1.4017916,110.325625,0,NEW
130,7,SARAWAK,Semenggoh Wildlife Centre ,"KM 20, Jalan Borneo Height, 93250 Kuching, Sarawak","The Semenggoh Wildlife Rehabilitation Centre is located just 12 miles south of Kuching in Borneo's 1613-acre Semenggoh Nature Reserve. Since 1975 the center has been accepting animals either orphaned, injured, or rescued from captivity and reintroducing them back into the wild.",http://www.sarawakforestry.com ,www.sarawakforestry.com ,082-242790,082-254436,destination_sarawak_07.png,1.36415,110.4288583,0,NEW
131,8,SARAWAK,Jong?s Crocodile Farm ,"Jong?s Crocodile Farm, Siburan, 29 km Kuching-Serian Road, 93250 Kuching, Sarawak. ","Situated at 18_ Miles (29km) Kuching/ Serian Highway, a 20 minute leisure drive from Kuching Town, the capital of Sarawak, Land of Hornbills, boasts one of the largest and the only crocodile breeding farm in the country. Set amidst the charming backdrop of tall tropical trees, lush vegetation and local fruit trees lies this unique farm with over a thousand crocodiles bred in captivity. The farm provides a perfect sanctuary for the reptiles, saving the species from extinction.  There are huge and deep concrete ponds and natural breeding grounds for the crocodiles to mate and multiply.",,,082-242790,082-254436,destination_sarawak_08.png,1.36415,110.428858,0,NEW
132,9,SARAWAK,Wind Cave ,"Wind Cave, Jalan Serikin 94000 Bau ","The Wind Cave Nature Reserve is part of the Bau Formation, a narrow belt of limestone covering about 150 sq km of Southwest Sarawak. Due to the comparatively soft and soluble nature of limestone, and the intense tropical rainfall of the region, the whole of the Bau Formation is intersected with caves. Whilst many caves of the Bau Formation are remote and inaccessible, the Wind Cave is within easy reach of Kuching and is a popular day trip and picnic destination. The Wind Cave Nature Reserve covers 6.16 hectares and includes the cave itself and the surrounding forest.",www.sarawakforestry.com ,info@sarawakforestry.com ,082-765490 ,,destination_sarawak_09.png,1.4177361,110.1616472,0,NEW
133,10,SARAWAK,Fairy Cave ,"Fairy Cave, Jalan Serikin 94000 Bau ","Fairy Caves in Kuching, Sarawak Borneo is located about 50 km from the capital and getting here is quite easy considering you take a proper tour guide with you. The caves are about 8km to the nearest town called Bau which used to be a gold mining town back in the day. The Fairy Cave is also known as Gua Kapor in Malayand is one of the very interesting caves to visit while here. My trip to the caves was very scenic where I passed various pepper plantations, local villages and lots of greenery. Make sure you stop at Bau Town to stock up on water and snacks as there is absolutely nothing there at the fairy caves. Also, make your toilet stop at town too as there are no toilets at the caves",www.sarawakforestry.com ,info@sarawakforestry.com ,082-765490 ,,destination_sarawak_10.png,1.3908583,110.1656083,0,NEW
134,11,SARAWAK,Paku Hot Spring ,"Jalan Air Panas, Kampung Sibulung 94000 Bau, Sarawak ",Location ? 48km away from Kuching along the Kuching-Serian Rd. Pass The town of Tapah drive a farther 300m and make right turn (only at the second right turn). Drive 10 minutes on bitumen road till you see ?Hot Spring? sign on your left .  From there on it?s gravel road for another 3 minutes.  Another signage on the right will lead you to the spring at the dead end.,,,082-763433,082-232359,destination_sarawak_11.png,1.4165805,110.189894,0,NEW
135,12,SARAWAK,Matang Family Park ,"Matang Family Park, Unit R207, Level 2, Sarawak Plaza, Jalan Tunku Abdul Rahman, 93100 Kuching Sarawak.   ","Matang Family Park is located 22 km from Kuching and covers an area of 87.50 acres of largely undisturbed rainforest. Situated at the foothills of the gradual valley of Gunung Serapi, with refreshing cold mountain water of Sungai Cina (Cina River) cutting across it and with the abundance of untouched natural fauna and flora decorating the landscape, Matang Family Park offers itself as one of the best rendezvous for day picnickers/visitors. The Park is characterised by its great natural beauty, combining tropical rainforest with a stream of water flowing over rock ledges and boulders of infinite variety. It is opened to the public every day throughout the year and is popular with the locals, especially families, schools and organisations because of its well-planned recreation and picnic areas.",www.secdtourism.com ,,082-412150,082-255964 ,destination_sarawak_12.png,1.616683,110.1958861,0,NEW
136,13,SARAWAK,Samajaya Nature Reserve ,"Jalan Setia Raja,93350 Tabuan Jaya, Kuching, Sarawak","The Sama Jaya Nature Reserve covers an area of approximately 38 hectares and is the first multi-purpose urban forest park in Sarawak. Situated entirely within Kuching?s city limits in the suburb of Tabuan Jaya, it consists mostly of karangas forest, providing a valuable green lung for the city, education and recreation facilities for its people, and an important refuge for urban wildlife. Sama Jaya was formerly known as Stutong Protected Forest, one of the oldest protected areas in Sarawak, having been constituted in 1950. The park is designed to provide an authentic urban wilderness, with all its facilities and activities integrated into the natural forest environment. The first urban forestry project undertaken by Sarawak Forestry, Sama Jaya?s primary objective is to promote multiple uses of forests through encouraging outdoor recreation, nature conservation education and nature-based tourism; creating a reserve and refuge for urban wildlife; and conserving a ?Green Island? for Kuching city.",http://www.forestry.sarawak.gov.my/for ,,082-365194,082-441210,destination_sarawak_13.png,1.5239138,110.3837972,0,NEW
137,14,SARAWAK,Akuarium ,"Jalan Tun Abang Haji Openg, 93566 Kuching, Sarawak. ",It?s just behind Sarawak Museum. Nothing much actually. Just aquariums with fish and also you can see tortoise there,,,082-234654 ,,destination_sarawak_14.png,1.555175,110.3430805,0,NEW
138,15,SARAWAK,Matang Wildlife Centre ,"Jalan Lundu/Sampadi, 93300 Kuching, Sarawak. ","This centre (40 minutes from Kuching) is part of Kubah National Park and is Sarawak?s main centre for wildlife rehabilitation Matang Wildlife Centre. The rescued animals being rehabilitated here include orang utan, sun bears, bear cats, civet cats, sambar deer, barking deer, porcupines and crocodiles, all of which can be viewed in spacious natural enclosures. A large aviary houses a variety of hornbills, as well as brahminy kites and sea eagles.",http://www.forestry.sarawak.gov ,,082-246575,,destination_sarawak_15.png,1.6210916,110.1605416,0,NEW
139,16,SARAWAK,Batang Ai National Park ,"Jalan Lubuk Antu/Empangan Batang Ai 95800 Lubuk Antu Sri Aman, Sarawak. ","Batang Ai National Park is part of the region?s largest trans-national protected area for tropical rainforest conservation. The 24 sq km park adjoins the Lanjak-Entimau Wildlife Sanctuary in Malaysia and the Bentuang-Karimun National Park in Indonesia. Together these totally protected areas cover almost 10,000 sq km and form a sanctuary for one of the few viable orang utan populations in Borneo (estimated at over 1,000 animals) as well as many other endangered species. For conservation reasons, Batang Ai National Park is the only part of this area open to visitors, but as it has the highest orang utan population density in central Borneo (up to 1.7 animals per sq km), there is a good possibility of seeing wild orang utan. However orang utan sightings should be regarded as a bonus not as a guaranteed experience.",www.sarawakforestry.com ,info@sarawakforestry.com ,011-225049 ,082-248087,destination_sarawak_16.png,1.2155638,111.9753638,0,NEW
140,17,SARAWAK,Tua Pek Kong Temple & Goddess of Mercy Pagoda ,"Jalan Temple P.O.Box 1452, 96000 Sibu Sarawak ","The 100-year old Tua Pek Kong Temple (Jln Temple) is the oldest and best-preserved Chinese temple in Sibu. The adjacent 7-storey Goddess of Mercy (Kuan Yin) Pagoda was added in 1987, and is said to be one of the most perfectly proportioned pagodas outside Mainland China. Visitors are welcome to climb its many steps to enjoy spectacular views of the Rejang and the Sibu Waterfront, especially at sunset.",,,084-312005 ,,destination_sarawak_17.png,2.2886361,111.8297194,0,NEW
141,18,SARAWAK,Sungai Merah Heritage Walk & Wong Nai Siong Memorial Garden ,Sungai Merah Bazaar 96007 Sibu Sarawak ,"The site of the earliest Chinese settlements in Sibu, Sungai Merah (Red River) is an old bazaar about 10 minutes by road from the town centre. The area has recently been restored and landscaped, with a pleasant walking trail along the river front (the water really is red, changing occasionally to yellow!) which leads through a quaintly landscaped park to the Wong Nai Siong Memorial Garden, erected in honour of the town?s principal founder and featuring a bronze statue of the missionary leader. Take a taxi or see Travel Connections for bus information.",www.sibu.gov.my ,www.sibu.gov.my ,084-333411,084-320240,destination_sarawak_18.png,2.324783,111.839727,0,NEW
142,19,SARAWAK,Sibu Central Market ,"Jalan Central, 96000 Sibu Sarawak ","Sibu?s recently refurbished Central Market, on Jln Channel opposite the Express Boat Passenger Terminal, is the largest and most interesting in Sarawak. By combining the former wet market and the native Lembangan market in clean and hygienic new surroundings, the Sibu Municipal Council has created a visual feast for visitors. Highlights are the Iban ladies selling exotic fruits, jungle produce and handicrafts, and the Chinese poultry sellers who offer their live chickens and ducks neatly wrapped up in tubes fashioned from old newspapers.",www.sibu.gov.my ,www.sibu.gov.my ,084-333411 ,084-320240,destination_sarawak_19.png,2.286905,111.828227,0,NEW
143,20,SARAWAK,Bukit Lima Forestry Recreational Park ,"Jalan Bukit Lima, 96000 Sibu Sarawak ","THE Bukit Lima Forest Park has become very popular for recreation, nature walks, exercise and photography. Opened in January 2001, it is easily accessible by road and is only 8km from the Sibu town centre It occupies a small part of the 280ha Bukit Lima Forest Reserve which was gazetted in 1929. Sarawak Forestry Corporation (SFC) set up the park to enable Sibu residents to appreciate the importance of forests and offer them a venue to learn about forest conservation. It is one of the largest wetland parks in the country. The peat swamp forest within the reserve is a gold mine for nature lovers. A slow walk through the park?s two trails takes three hours and one will see lowland trees, plants, flowers, mushrooms, birds, insects, butterflies, bats, lizards, snakes, frogs, terrapins, long-tailed macaques and a lot more if one is alert and observant.",,,084-337444,,destination_sarawak_20.png,2.354805,111.83147,0,NEW
144,21,SARAWAK,Mulu National Park ,"Mulu National Park HQ, Mulu Sarawak ","Heritage is our legacy from the past, what we live with today, and what we pass on to future generations.? United Nations Educational, Scientific & Cultural Organization (UNESCO). Considering Mulu?s spectacular scenery and its biological significance, it was not surprising that Mulu was successfully listed as a World Heritage site in November 2000. World Heritage status has created renewed interest in the park and a genuine desire of the government and people of Malaysia to ensure it is adequately protected. Accordingly, the Sarawak Government has committed to developing world leading conservation practices and high quality nature based tourism activities at Mulu and has committed considerable resources to ensure its goals are achieved.",www.forestry.sarawak.gov.my/forweb/np/np/mulu.htm ,,085-792300,085-792305 ,destination_sarawak_21.png,4.039175,114.9337527,0,NEW
